,ID,subsystem
1460,P4503A7r,Steroid metabolism
1461,P45046A1r,Bile acid synthesis
1462,P4504B1r,Eicosanoid metabolism
1463,P4504F121r,Eicosanoid metabolism
1464,P4504F122r,Eicosanoid metabolism
1465,P4504F123r,Cytochrome metabolism
1466,P4504F81r,Eicosanoid metabolism
1467,P4507A1r,Bile acid synthesis
1468,P4507B11r,Bile acid synthesis
1469,P4507B12r,Bile acid synthesis
1470,P4508B11r,Bile acid synthesis
1471,P4508B13r,Bile acid synthesis
1472,P450LTB4r,Eicosanoid metabolism
1473,P450SCC1m,Cholesterol metabolism
1474,P5CDm,Glutamate metabolism
1475,P5CRm,Arginine and Proline Metabolism
1476,PACCOAL,Phenylalanine metabolism
1477,PAFH,Glycerophospholipid metabolism
1478,PAFHe,Glycerophospholipid metabolism
1479,PAFS,Glycerophospholipid metabolism
1480,PAN4PP,CoA catabolism
1481,PCHOLP_hs,Glycerophospholipid metabolism
1482,PCHOLPg_hs,Glycerophospholipid metabolism
1483,PCHOLPm_hs,Glycerophospholipid metabolism
1484,PCHOLPr_hs,Glycerophospholipid metabolism
1485,PCLAD,Tryptophan metabolism
1486,PCLYSOX,Lysine metabolism
1487,PCm,Pyruvate metabolism
1488,PDE1,Nucleotide interconversion
1489,PDE1g,Nucleotide interconversion
1490,PDE4,Nucleotide interconversion
1491,PDE4g,Nucleotide interconversion
1492,PDE4n,Nucleotide interconversion
1493,PDHm,Glycolysis/gluconeogenesis
1494,PDX5PO,Vitamin B6 metabolism
1495,PDXPP,Vitamin B6 metabolism
1496,PEAMNO,Phenylalanine metabolism
1497,PECGONCOATr,Alkaloid synthesis
1498,PEPCK,Glycolysis/gluconeogenesis
1499,PEPCKm,Glycolysis/gluconeogenesis
1500,PETHCT,Glycerophospholipid metabolism
1501,PETOHMm_hs,Glycerophospholipid metabolism
1502,PETOHMr_hs,Glycerophospholipid metabolism
1503,PFK,Glycolysis/gluconeogenesis
1504,PFK26,Fructose and mannose metabolism
1505,PGCD,"Glycine, serine, alanine and threonine metabolism"
1506,PGDI,Eicosanoid metabolism
1507,PGDIr,Eicosanoid metabolism
1508,PGESr,Eicosanoid metabolism
1509,PGI,Glycolysis/gluconeogenesis
1510,PGISr,Eicosanoid metabolism
1511,PGK,Glycolysis/gluconeogenesis
1512,PGL,Pentose phosphate pathway
1513,PGLer,Pentose phosphate pathway
1514,PGLYCP,Glyoxylate and dicarboxylate metabolism
1515,PGM,Glycolysis/gluconeogenesis
1516,PGMT,Glycolysis/gluconeogenesis
1517,PGPP_hs,Glycerophospholipid metabolism
1518,PGPPT,Glycerophospholipid metabolism
1519,PGS,Eicosanoid metabolism
1520,PGSr,Eicosanoid metabolism
1521,PHACCOAGLNAC,Phenylalanine metabolism
1522,PHCDm,Arginine and Proline Metabolism
1523,PHCHGSm,Arginine and Proline Metabolism
1524,PHETA1,Phenylalanine metabolism
1525,PHETA1m,Phenylalanine metabolism
1526,PHETHPTOX2,Phenylalanine metabolism
1527,PHYCBOXL,Phenylalanine metabolism
1528,PHYHx,Fatty acid oxidation
1529,PI345P3P,Inositol phosphate metabolism
1530,PI345P3Pn,Inositol phosphate metabolism
1531,PI345P5P,Inositol phosphate metabolism
1532,PI345P5Pn,Inositol phosphate metabolism
1533,PI34P3Pn,Inositol phosphate metabolism
1534,PI34P4Pn,Inositol phosphate metabolism
1535,PI34P5K,Inositol phosphate metabolism
1536,PI34P5Kn,Inositol phosphate metabolism
1537,PI3P3Pn,Inositol phosphate metabolism
1538,PI3P4K,Inositol phosphate metabolism
1539,PI3P4Kn,Inositol phosphate metabolism
1540,PI3P5K,Inositol phosphate metabolism
1541,PI45P3K,Inositol phosphate metabolism
1542,PI45P3Kn,Inositol phosphate metabolism
1543,PI45P4P,Inositol phosphate metabolism
1544,PI45P5P,Inositol phosphate metabolism
1545,PI45P5Pn,Inositol phosphate metabolism
1546,PI45PLC,Inositol phosphate metabolism
1547,PI45PLCn,Inositol phosphate metabolism
1548,PI4P3K,Inositol phosphate metabolism
1549,PI4P3Ker,Inositol phosphate metabolism
1550,PI4P3Kn,Inositol phosphate metabolism
1551,PI4P5K,Glycerophospholipid metabolism
1552,PI4P5Kn,Inositol phosphate metabolism
1553,PI4PLC,Inositol phosphate metabolism
1554,PI4PLCn,Inositol phosphate metabolism
1555,PI4PP,Inositol phosphate metabolism
1556,PI5P3K,Inositol phosphate metabolism
1557,PI5P3Ker,Inositol phosphate metabolism
1558,PI5P4K,Inositol phosphate metabolism
1559,PI5P4Kn,Inositol phosphate metabolism
1560,PIACGT,Phosphatidylinositol phosphate metabolism
1561,PIK3,Inositol phosphate metabolism
1562,PIK3er,Inositol phosphate metabolism
1563,PIK3n,Inositol phosphate metabolism
1564,PIK4,Glycerophospholipid metabolism
1565,PIK4n,Inositol phosphate metabolism
1566,PIK5,Inositol phosphate metabolism
1567,PIK5n,Inositol phosphate metabolism
1568,PIPLC,Inositol phosphate metabolism
1569,PIPLCn,Inositol phosphate metabolism
1570,PLA2,Glycerophospholipid metabolism
1571,PLA2_2,Glycerophospholipid metabolism
1572,PLA2_2e,Glycerophospholipid metabolism
1573,PMANM,Fructose and mannose metabolism
1574,PMEVKx,Cholesterol metabolism
1575,PMI12346PH,Inositol phosphate metabolism
1576,PMI12346PHn,Inositol phosphate metabolism
1577,PMI1346PH,Inositol phosphate metabolism
1578,PMI1346PHn,Inositol phosphate metabolism
1579,PNP,NAD metabolism
1580,PNTEH,CoA catabolism
1581,PNTK,CoA synthesis
1582,PNTKm,CoA synthesis
1583,PPA,Oxidative phosphorylation
1584,PPA2,Miscellaneous
1585,PPA2m,Miscellaneous
1586,PPAer,Miscellaneous
1587,PPAm,Oxidative phosphorylation
1588,PPAn,Miscellaneous
1589,PPAP,Triacylglycerol synthesis
1590,PPBNGS,Heme synthesis
1591,PPCDC,CoA synthesis
1592,PPCOACm,"Valine, leucine, and isoleucine metabolism"
1593,PPCOAOm,Propanoate metabolism
1594,PPD2CSPp,Lysine metabolism
1595,PPDOx,Pyruvate metabolism
1596,PPDOy,Pyruvate metabolism
1597,PPM,Pentose phosphate pathway
1598,PPNCL3,CoA synthesis
1599,PPOR,Phenylalanine metabolism
1600,PPPGOm,Heme synthesis
1601,PRAGSr,Purine synthesis
1602,PRDX,Miscellaneous
1603,PRDXl,Miscellaneous
1604,PRFGS,Purine synthesis
1605,PRGNLONESULT,Steroid metabolism
1606,PRO1xm,Arginine and Proline Metabolism
1607,PROAKGOX1r,Arginine and Proline Metabolism
1608,PROD2,Arginine and Proline Metabolism
1609,PROD2m,Arginine and Proline Metabolism
1610,PRPNCOAHYDm,beta-Alanine metabolism
1611,PRPNCOAHYDx,beta-Alanine metabolism
1612,PRPPS,Pentose phosphate pathway
1613,PSDm_hs,Glycerophospholipid metabolism
1614,PSERT,"Glycine, serine, alanine and threonine metabolism"
1615,PSP_L,"Glycine, serine, alanine and threonine metabolism"
1616,PSSA1_hs,Glycerophospholipid metabolism
1617,PSSA2_hs,Glycerophospholipid metabolism
1618,PTDCACRNCPT1,Fatty acid oxidation
1619,PTDCACRNCPT2,Fatty acid oxidation
1620,PTE2x,Fatty acid oxidation
1621,PTE3x,Fatty acid oxidation
1622,PTE4x,Fatty acid oxidation
1623,PTE5x,Fatty acid oxidation
1624,PTHPS,Tetrahydrobiopterin metabolism
1625,PTHPSn,Tetrahydrobiopterin metabolism
1626,PTPAT,CoA synthesis
1627,PTRCAT1,Arginine and Proline Metabolism
1628,PTRCOX1,Arginine and Proline Metabolism
1629,PUNP1,Nucleotide interconversion
1630,PUNP2,Purine catabolism
1631,PUNP3,Purine catabolism
1632,PUNP4,Purine catabolism
1633,PUNP5,Purine catabolism
1634,PUNP6,Purine catabolism
1635,PUNP7,Nucleotide interconversion
1636,PVD3,Vitamin D metabolism
1637,PYAM5POr,Vitamin B6 metabolism
1638,PYDAMK,Vitamin B6 metabolism
1639,PYDXDH,Vitamin B6 metabolism
1640,PYDXK,Vitamin B6 metabolism
1641,PYDXNK,Vitamin B6 metabolism
1642,PYDXPP,Vitamin B6 metabolism
1643,PYK,Glycolysis/gluconeogenesis
1644,PYLALDOX,Limonene and pinene degradation
1645,PYLALDOXm,Limonene and pinene degradation
1646,PYNP2r,Pyrimidine catabolism
1647,QUILSYN,Tryptophan metabolism
1648,RADH,Vitamin A metabolism
1649,RADH2,Vitamin A metabolism
1650,RADH3,Vitamin A metabolism
1651,RADH4,Vitamin A metabolism
1652,RAHY,Vitamin A metabolism
1653,RAI1,Vitamin A metabolism
1654,RAI2,Vitamin A metabolism
1655,RAI3,Vitamin A metabolism
1656,RAI4,Vitamin A metabolism
1657,RBFK,Vitamin B2 metabolism
1658,RBK,Pentose phosphate pathway
1659,RBK_D,Pentose phosphate pathway
1660,RDH1,Vitamin A metabolism
1661,RDH1a,Vitamin A metabolism
1662,RDH2,Vitamin A metabolism
1663,RDH2a,Vitamin A metabolism
1664,RDH3,Vitamin A metabolism
1665,RDH3a,Vitamin A metabolism
1666,RDH4,Vitamin A metabolism
1667,RETFA,Vitamin A metabolism
1668,RETH,Vitamin A metabolism
1669,RETH1,Vitamin A metabolism
1670,RETH1e,Vitamin A metabolism
1671,RETH2,Vitamin A metabolism
1672,RETH2e,Vitamin A metabolism
1673,RETHe,Vitamin A metabolism
1674,RETI1,Vitamin A metabolism
1675,RETI2,Vitamin A metabolism
1676,RETI3,Vitamin A metabolism
1677,RETNCOA,Vitamin A metabolism
1678,RNDR1,Nucleotide interconversion
1679,RNDR2,Nucleotide interconversion
1680,RNDR3,Nucleotide interconversion
1681,RNDR4,Nucleotide interconversion
1682,RNMK,NAD metabolism
1683,RPE,Pentose phosphate pathway
1684,RPI,Pentose phosphate pathway
1685,RTOT_2,R group synthesis
1686,RTOTALCRNCPT1,Fatty acid oxidation
1687,RTOTALCRNCPT2,Fatty acid oxidation
1688,S23T2g,Keratan sulfate synthesis
1689,S23T3g,Keratan sulfate synthesis
1690,S23T4g,Keratan sulfate synthesis
1691,S23Tg,O-glycan synthesis
1692,S26Tg,N-glycan synthesis
1693,S2T1g,Chondroitin synthesis
1694,S2T2g,Chondroitin synthesis
1695,S2T3g,Chondroitin synthesis
1696,S2T4g,Chondroitin synthesis
1697,S2TASE1ly,Heparan sulfate degradation
1698,S2TASE2ly,Heparan sulfate degradation
1699,S2TASE3ly,Chondroitin sulfate degradation
1700,S2TASE4ly,Chondroitin sulfate degradation
1701,S2TASE5ly,Chondroitin sulfate degradation
1702,S3T1g,Chondroitin synthesis
1703,S3T2g,Chondroitin synthesis
1704,S3T3g,Chondroitin synthesis
1705,S3TASE1ly,Heparan sulfate degradation
1706,S3TASE2ly,Heparan sulfate degradation
1707,S3TASE3ly,Heparan sulfate degradation
1708,S4T1g,Chondroitin synthesis
1709,S4T2g,Chondroitin synthesis
1710,S4T3g,Chondroitin synthesis
1711,S4T4g,Chondroitin synthesis
1712,S4T5g,Chondroitin synthesis
1713,S4T6g,Chondroitin synthesis
1714,S4TASE1ly,Chondroitin sulfate degradation
1715,S4TASE2ly,Chondroitin sulfate degradation
1716,S4TASE3ly,Chondroitin sulfate degradation
1717,S4TASE4ly,Chondroitin sulfate degradation
1718,S4TASE5ly,Chondroitin sulfate degradation
1719,S6T10g,Keratan sulfate synthesis
1720,S6T11g,Keratan sulfate synthesis
1721,S6T12g,Keratan sulfate synthesis
1722,S6T13g,Keratan sulfate synthesis
1723,S6T14g,Keratan sulfate synthesis
1724,S6T15g,Keratan sulfate synthesis
1725,S6T16g,Keratan sulfate synthesis
1726,S6T17g,Keratan sulfate synthesis
1727,S6T18g,Keratan sulfate synthesis
1728,S6T19g,Chondroitin synthesis
1729,S6T1g,Keratan sulfate synthesis
1730,S6T20g,Chondroitin synthesis
1731,S6T21g,Chondroitin synthesis
1732,S6T22g,Chondroitin synthesis
1733,S6T23g,Chondroitin synthesis
1734,S6T24g,Chondroitin synthesis
1735,S6T25g,Chondroitin synthesis
1736,S6T2g,Keratan sulfate synthesis
1737,S6T3g,Keratan sulfate synthesis
1738,S6T4g,Keratan sulfate synthesis
1739,S6T5g,Keratan sulfate synthesis
1740,S6T6g,Keratan sulfate synthesis
1741,S6T7g,Keratan sulfate synthesis
1742,S6T8g,Keratan sulfate synthesis
1743,S6T9g,Keratan sulfate synthesis
1744,S6TASE10ly,Keratan sulfate degradation
1745,S6TASE11ly,Keratan sulfate degradation
1746,S6TASE12ly,Keratan sulfate degradation
1747,S6TASE13ly,Keratan sulfate degradation
1748,S6TASE14ly,Keratan sulfate degradation
1749,S6TASE15ly,Keratan sulfate degradation
1750,S6TASE16ly,Keratan sulfate degradation
1751,S6TASE17ly,Keratan sulfate degradation
1752,S6TASE18ly,Keratan sulfate degradation
1753,S6TASE19ly,Keratan sulfate degradation
1754,S6TASE1ly,Heparan sulfate degradation
1755,S6TASE20ly,Keratan sulfate degradation
1756,S6TASE21ly,Keratan sulfate degradation
1757,S6TASE22ly,Keratan sulfate degradation
1758,S6TASE23ly,Keratan sulfate degradation
1759,S6TASE24ly,Keratan sulfate degradation
1760,S6TASE25ly,Keratan sulfate degradation
1761,S6TASE26ly,Keratan sulfate degradation
1762,S6TASE2ly,Heparan sulfate degradation
1763,S6TASE3ly,Heparan sulfate degradation
1764,S6TASE4ly,Chondroitin sulfate degradation
1765,S6TASE5ly,Chondroitin sulfate degradation
1766,S6TASE6ly,Chondroitin sulfate degradation
1767,S6TASE7ly,Chondroitin sulfate degradation
1768,S6TASE8ly,Chondroitin sulfate degradation
1769,S6TASE9ly,Chondroitin sulfate degradation
1770,SACCD3m,Lysine metabolism
1771,SACCD4m,Lysine metabolism
1772,SADT,Nucleotide interconversion
1773,SALMCOM,Tyrosine metabolism
1774,SALMCOM2,Tyrosine metabolism
1775,SAMHISTA,Histidine metabolism
1776,SARCOXp,"Glycine, serine, alanine and threonine metabolism"
1777,SARDHm,Urea cycle
1778,SBPP1er,Sphingolipid metabolism
1779,SBPP3er,Sphingolipid metabolism
1780,SBTD_D2,Fructose and mannose metabolism
1781,SBTR,Fructose and mannose metabolism
1782,SCP2x,Bile acid synthesis
1783,SCPx,Bile acid synthesis
1784,SEAHCYSHYD,Selenoamino acid metabolism
1785,SELADT,Selenoamino acid metabolism
1786,SELCYSLY,Selenoamino acid metabolism
1787,SELCYSLY2,Selenoamino acid metabolism
1788,SELCYSTGL,Selenoamino acid metabolism
1789,SELCYSTS,Selenoamino acid metabolism
1790,SELMETAT,Selenoamino acid metabolism
1791,SELNPS,Selenoamino acid metabolism
1792,SERHL,"Glycine, serine, alanine and threonine metabolism"
1793,SERPT,Sphingolipid metabolism
1794,SFGTH,Tyrosine metabolism
1795,SGPL11r,Sphingolipid metabolism
1796,SGPL12r,Sphingolipid metabolism
1797,SIAASE,N-glycan degradation
1798,SIAASE2ly,Keratan sulfate degradation
1799,SIAASE3ly,Keratan sulfate degradation
1800,SIAASE4ly,Keratan sulfate degradation
1801,SIAASEly,N-glycan degradation
1802,SIAT4Bg,Sphingolipid metabolism
1803,SIAT9g,Sphingolipid metabolism
1804,SLCBK1,Sphingolipid metabolism
1805,SLDx,Methionine and cysteine metabolism
1806,SLDxm,Methionine and cysteine metabolism
1807,SMPD3g,Sphingolipid metabolism
1808,SMPD3l,Sphingolipid metabolism
1809,SMPD4,Sphingolipid metabolism
1810,SMS,Sphingolipid metabolism
1811,SOAT12,Cholesterol metabolism
1812,SOAT12r,Cholesterol metabolism
1813,SPHK21c,Sphingolipid metabolism
1814,SPHMDAc,Sphingolipid metabolism
1815,SPMDOX,beta-Alanine metabolism
1816,SPMS,Urea cycle
1817,SPODM,ROS detoxification
1818,SPODMe,ROS detoxification
1819,SPODMm,ROS detoxification
1820,SPODMn,ROS detoxification
1821,SPODMx,ROS detoxification
1822,SPR,Tetrahydrobiopterin metabolism
1823,SPRMS,Urea cycle
1824,SPRn,Tetrahydrobiopterin metabolism
1825,SPTix,"Glycine, serine, alanine and threonine metabolism"
1826,SQLEr,Cholesterol metabolism
1827,SQLSr,Cholesterol metabolism
1828,SR5AR2r,Steroid metabolism
1829,SR5ARr,Steroid metabolism
1830,SRTN23OX,Tryptophan metabolism
1831,SRTNACT,Tryptophan metabolism
1832,SRTNMTX,Tryptophan metabolism
1833,ST3GAL21g,Sphingolipid metabolism
1834,ST3GAL22g,Sphingolipid metabolism
1835,ST3GAL23g,Sphingolipid metabolism
1836,ST3GAL31g,Blood group synthesis
1837,ST3GAL61g,Blood group synthesis
1838,ST3GAL62g,Blood group synthesis
1839,ST6GALNAC21,Sphingolipid metabolism
1840,ST6GALNAC22,Sphingolipid metabolism
1841,ST6GALNAC23,Sphingolipid metabolism
1842,ST6GALNAC24,Sphingolipid metabolism
1843,ST6GALNAC25,Sphingolipid metabolism
1844,ST6GALNAC26,Sphingolipid metabolism
1845,ST6GALNAC27,Sphingolipid metabolism
1846,ST6GALNAC28,Sphingolipid metabolism
1847,ST6GALNAC31,Sphingolipid metabolism
1848,ST6GALNAC62,Sphingolipid metabolism
1849,ST8SIA11,Sphingolipid metabolism
1850,ST8SIA12,Sphingolipid metabolism
1851,ST8SIA51g,Sphingolipid metabolism
1852,ST8SIA52g,Sphingolipid metabolism
1853,ST8SIA53g,Sphingolipid metabolism
1854,ST8SIA54g,Sphingolipid metabolism
1855,ST8SIA55g,Sphingolipid metabolism
1856,ST8SIA56g,Blood group synthesis
1857,STRDNCCPT1,Fatty acid oxidation
1858,STRDNCCPT2,Fatty acid oxidation
1859,STS1,Steroid metabolism
1860,STS1r,Steroid metabolism
1861,STS2,Steroid metabolism
1862,STS2r,Steroid metabolism
1863,SUCD1m,Citric acid cycle
1864,SUCOAS1m,Citric acid cycle
1865,SUCOASm,Citric acid cycle
1866,SUCRe,Galactose metabolism
1867,T2M26DCOAHLm,Limonene and pinene degradation
1868,T2M26DCOAHLx,Limonene and pinene degradation
1869,T4HCINNMFM,Ubiquinone synthesis
1870,T4HCINNOX,"Stilbene, coumarine and lignin synthesis"
1871,TALA,Pentose phosphate pathway
1872,TDP,Thiamine metabolism
1873,TDPDRE,Nucleotide sugar metabolism
1874,TDPDRR,Nucleotide sugar metabolism
1875,TDPGDH,Nucleotide sugar metabolism
1876,TDPm,Thiamine metabolism
1877,TETPENT3CPT1,Fatty acid oxidation
1878,TETPENT3CPT2,Fatty acid oxidation
1879,TETPENT6CPT1,Fatty acid oxidation
1880,TETPENT6CPT2,Fatty acid oxidation
1881,TETTET6CPT1,Fatty acid oxidation
1882,TETTET6CPT2,Fatty acid oxidation
1883,THBPT4ACAMDASE,Tetrahydrobiopterin metabolism
1884,THMP,Thiamine metabolism
1885,THMTP,Thiamine metabolism
1886,THRD_L,"Glycine, serine, alanine and threonine metabolism"
1887,THRS,"Glycine, serine, alanine and threonine metabolism"
1888,THYPX,Tyrosine metabolism
1889,TKT1,Pentose phosphate pathway
1890,TKT2,Pentose phosphate pathway
1891,TMABADH,Lysine metabolism
1892,TMDK1,Nucleotide interconversion
1893,TMDK1m,Nucleotide interconversion
1894,TMDPK,Thiamine metabolism
1895,TMDPP,Pyrimidine catabolism
1896,TMDPPK,Thiamine metabolism
1897,TMDS,Nucleotide interconversion
1898,TMLYSOX,Lysine metabolism
1899,TMNDNCCPT1,Fatty acid oxidation
1900,TMNDNCCPT2,Fatty acid oxidation
1901,TPI,Glycolysis/gluconeogenesis
1902,TRDR,Nucleotide interconversion
1903,TRDR2,Miscellaneous
1904,TRDR3,Miscellaneous
1905,TRDRm,Nucleotide interconversion
1906,TREH,Starch and sucrose metabolism
1907,TREHe,Starch and sucrose metabolism
1908,TRIODTHYSULT,Tyrosine metabolism
1909,TRIOK,Fructose and mannose metabolism
1910,TRPHYDRO2,Tryptophan metabolism
1911,TRPO2,Tryptophan metabolism
1912,TRYPTAOX,Tryptophan metabolism
1913,TS3,Vitamin D metabolism
1914,TSTSTERONESULT,Steroid metabolism
1915,TTDCPT1,Fatty acid oxidation
1916,TTDCPT2,Fatty acid oxidation
1917,TXASr,Eicosanoid metabolism
1918,TYMSULT,Tyrosine metabolism
1919,TYR3MO2,Tyrosine metabolism
1920,TYRASE,Tyrosine metabolism
1921,TYRCBOX,Tyrosine metabolism
1922,TYRDOPO,Tyrosine metabolism
1923,TYRDOPO3,Tyrosine metabolism
1924,TYROXDAc,Tyrosine metabolism
1925,TYRTA,Tyrosine metabolism
1926,TYRTAm,Tyrosine metabolism
1927,UAG2EMAi,Aminosugar metabolism
1928,UAG4E,Aminosugar metabolism
1929,UAGALDP,Aminosugar metabolism
1930,UAGDP,Aminosugar metabolism
1931,UDPDOLPT_U,N-glycan synthesis
1932,UDPG1P,Pentose phosphate pathway
1933,UDPG4E,Galactose metabolism
1934,UDPGD,Starch and sucrose metabolism
1935,UDPGLDCg,Nucleotide sugar metabolism
1936,UDPGNP,Pentose phosphate pathway
1937,UDPGP,Starch and sucrose metabolism
1938,UGALGTg,Galactose metabolism
1939,UGCG,Sphingolipid metabolism
1940,UGLT,Galactose metabolism
1941,UGT1A10r,Steroid metabolism
1942,UGT1A1r,Steroid metabolism
1943,UGT1A2r,Steroid metabolism
1944,UGT1A3r,Steroid metabolism
1945,UGT1A4r,Steroid metabolism
1946,UGT1A5r,Vitamin A metabolism
1947,UGT1A5r2,Vitamin A metabolism
1948,UGT1A6r,Steroid metabolism
1949,UGT1A7r,Steroid metabolism
1950,UGT1A8r,Steroid metabolism
1951,UGT1A9r,Steroid metabolism
1952,UMPK,Nucleotide interconversion
1953,UMPK2,Nucleotide interconversion
1954,UMPK2n,Nucleotide interconversion
1955,UMPK3,Nucleotide interconversion
1956,UMPK3n,Nucleotide interconversion
1957,UMPK4,Nucleotide interconversion
1958,UMPK4n,Nucleotide interconversion
1959,UMPK5,Nucleotide interconversion
1960,UMPK5n,Nucleotide interconversion
1961,UMPK6,Nucleotide interconversion
1962,UMPK6n,Nucleotide interconversion
1963,UMPK7,Nucleotide interconversion
1964,UMPK7n,Nucleotide interconversion
1965,UMPKm,Nucleotide interconversion
1966,UMPKn,Nucleotide interconversion
1967,UNK2,Arginine and Proline Metabolism
1968,UNK3,Arginine and Proline Metabolism
1969,UPP3S,Heme synthesis
1970,UPPDC1,Heme synthesis
1971,UPPN,Pyrimidine catabolism
1972,URCN,Histidine metabolism
1973,URIDK2m,Nucleotide interconversion
1974,URIK1,Pyrimidine synthesis
1975,UROLACer,Vitamin C metabolism
1976,VACCCPT1,Fatty acid oxidation
1977,VACCCPT2,Fatty acid oxidation
1978,VALTA,"Valine, leucine, and isoleucine metabolism"
1979,VALTAm,"Valine, leucine, and isoleucine metabolism"
1980,VD3,Vitamin D metabolism
1981,VITD2Hm,Vitamin D metabolism
1982,VITD3Hm,Vitamin D metabolism
1983,VLCS2p,Bile acid synthesis
1984,VLCS2r,Bile acid synthesis
1985,VLCSp,Bile acid synthesis
1986,VLCSr,Bile acid synthesis
1987,XANDp,Purine catabolism
1988,XAO2x,Purine catabolism
1989,XAOx,Purine catabolism
1990,XYLK,Pentose phosphate pathway
1991,XYLTD_Dr,Pentose phosphate pathway
1992,XYLTer,Chondroitin synthesis
1993,XYLUR,Pentose phosphate pathway
1994,r0009,Purine catabolism
1995,r0010,ROS detoxification
1996,r0013,Aminosugar metabolism
1997,r0016,Miscellaneous
1998,r0021,Glutathione metabolism
1999,r0022,Glutathione metabolism
2000,r0024,Arginine and Proline Metabolism
2001,r0027,Methionine and cysteine metabolism
2002,r0028,Purine catabolism
2003,r0033,CoA synthesis
2004,r0034,Urea cycle
2005,r0047,Purine catabolism
2006,r0051,Purine catabolism
2007,r0055,Pyruvate metabolism
2008,r0062,Pyruvate metabolism
2009,r0068,Exchange
2010,r0074,Urea cycle
2011,r0081,Citric acid cycle
2012,r0082,Exchange
2013,r0083,Exchange
2014,r0084,Exchange
2015,r0085,Urea cycle
2016,r0086,Urea cycle
2017,r0093,Starch and sucrose metabolism
2018,r0097,Exchange
2019,r0113,Aminosugar metabolism
2020,r0119,Purine catabolism
2021,r0120,Tetrahydrobiopterin metabolism
2022,r0121,Tetrahydrobiopterin metabolism
2023,r0122,Glycolysis/gluconeogenesis
2024,r0127,Alanine and aspartate metabolism
2025,r0129,Glutathione metabolism
2026,r0130,Glutathione metabolism
2027,r0139,Pyrimidine catabolism
2028,r0142,Methionine and cysteine metabolism
2029,r0149,Pyrimidine catabolism
2030,r0153,Glycolysis/gluconeogenesis
2031,r0156,Urea cycle
2032,r0157,Urea cycle
2033,r0160,"Glycine, serine, alanine and threonine metabolism"
2034,r0163,Exchange
2035,r0165,Glycolysis/gluconeogenesis
2036,r0166,Pyrimidine catabolism
2037,r0170,Cholesterol metabolism
2038,r0173,Glycolysis/gluconeogenesis
2039,r0178,Glutamate metabolism
2040,r0179,Glutamate metabolism
2041,r0181,Purine catabolism
2042,r0186,Glycerophospholipid metabolism
2043,r0191,Fructose and mannose metabolism
2044,r0193,Cysteine Metabolism
2045,r0196,Exchange
2046,r0202,Glycolysis/gluconeogenesis
2047,r0208,Fructose and mannose metabolism
2048,r0210,Methionine and cysteine metabolism
2049,r0220,Exchange
2050,r0221,Exchange
2051,r0224,Folate metabolism
2052,r0226,Folate metabolism
2053,r0236,Pyrimidine catabolism
2054,r0239,Tryptophan metabolism
2055,r0242,Exchange
2056,r0245,Glycerophospholipid metabolism
2057,r0246,Exchange
2058,r0249,Pentose phosphate pathway
2059,r0267,Exchange
2060,r0268,Exchange
2061,r0280,Glycolysis/gluconeogenesis
2062,r0281,Methionine and cysteine metabolism
2063,r0283,beta-Alanine metabolism
2064,r0287,Fatty acid oxidation
2065,r0295,"Glycine, serine, alanine and threonine metabolism"
2066,r0301,Bile acid synthesis
2067,r0308,Fatty acid oxidation
2068,r0309,Fatty acid oxidation
2069,r0310,Fatty acid oxidation
2070,r0311,Fatty acid oxidation
2071,r0317,Exchange
2072,r0318,Exchange
2073,r0319,Exchange
2074,r0321,Cholesterol metabolism
2075,r0330,Pyrimidine catabolism
2076,r0331,Pyrimidine catabolism
2077,r0339,Exchange
2078,r0340,Exchange
2079,r0345,Nucleotide interconversion
2080,r0354,Glycolysis/gluconeogenesis
2081,r0355,Glycolysis/gluconeogenesis
2082,r0357,Fructose and mannose metabolism
2083,r0358,Fructose and mannose metabolism
2084,r0360,Fructose and mannose metabolism
2085,r0361,Fructose and mannose metabolism
2086,r0363,Aminosugar metabolism
2087,r0364,Aminosugar metabolism
2088,r0365,Propanoate metabolism
2089,r0377,Pyrimidine catabolism
2090,r0380,Exchange
2091,r0381,Taurine and hypotaurine metabolism
2092,r0383,Exchange
2093,r0384,Exchange
2094,r0385,Exchange
2095,r0386,Exchange
2096,r0388,Vitamin B6 metabolism
2097,r0389,Vitamin B6 metabolism
2098,r0390,Exchange
2099,r0391,NAD metabolism
2100,r0392,Exchange
2101,r0393,Exchange
2102,r0394,Nucleotide interconversion
2103,r0395,Nucleotide interconversion
2104,r0398,Tetrahydrobiopterin metabolism
2105,r0399,Tetrahydrobiopterin metabolism
2106,r0400,Exchange
2107,r0402,Tetrahydrobiopterin metabolism
2108,r0403,Tetrahydrobiopterin metabolism
2109,r0407,Exchange
2110,r0408,Exchange
2111,r0409,Exchange
2112,r0410,Pyrimidine catabolism
2113,r0413,Glycolysis/gluconeogenesis
2114,r0422,Exchange
2115,r0423,Exchange
2116,r0424,Exchange
2117,r0425,Exchange
2118,r0426,Exchange
2119,r0430,Fatty acid oxidation
2120,r0431,Fatty acid oxidation
2121,r0432,Fatty acid oxidation
2122,r0433,Fatty acid oxidation
2123,r0434,Fatty acid oxidation
2124,r0437,Fatty acid oxidation
2125,r0438,Fatty acid oxidation
2126,r0440,Fatty acid oxidation
2127,r0441,Fatty acid oxidation
2128,r0443,Fatty acid oxidation
2129,r0444,Fatty acid oxidation
